molindx,Temperature,logS,rdf_eeq,rdf_alp,sdc,sdx,sa,dga,dgp,dgtot
2625,298.15,-0.9703,-0.08643,7937.28095,3.4239,0.0,0.5706,-5.2398,-16.4815,-21.7213
2627,298.15,4.00728,-0.26457,4820.51553,2.9137,0.9592,1.5328,-2.0052,-35.4162,-37.4214
2628,293.15,5.13589,-0.38897,6006.53084,5.0441,1.0479,2.8255,-6.0132,-63.6856,-56.9293
2629,293.15,10.12663,-0.32678,8061.73373,5.4275,0.0,1.5845,-3.8732,-33.5188,-29.5747
2630,298.15,8.80538,-0.75575,7210.20383,5.1114,1.105,3.8357,-5.4387,-72.488,-56.6219
2631,291.15,6.90776,-0.66908,5384.67228,2.9906,3.0822,3.1538,-4.9598,-66.9696,-67.3354
2634,298.15,4.3666,-0.18426,9482.97122,4.3472,0.0,0.7738,-13.7638,-16.4294,-30.1932
2635,293.15,-0.10541,-0.6605,23759.21726,8.6074,0.0,3.2366,1.3289,-62.7323,-31.6747
2638,293.15,2.30259,-0.30957,14244.54901,4.2744,1.0475,1.9971,-4.7379,-47.5601,-51.1988
2640,293.15,6.65929,-0.7308,17009.10756,8.2934,1.0816,4.2505,-4.4216,-95.4316,-83.8074
2641,293.15,3.55445,-0.46758,11418.80666,5.6188,0.8477,3.0615,2.4523,-62.8392,-45.6276
2642,298.15,6.90776,-0.9157,14438.43892,6.4505,2.4924,3.803,6.7362,-82.5278,-67.9636
2643,298.15,-0.46196,-0.81522,39584.60336,13.5489,0.0,5.5975,-8.441,-115.8715,-89.5227
2644,298.15,1.19086,-0.39746,12426.91195,4.9508,0.6081,1.5458,-12.8693,-29.7529,-42.6222
2645,293.15,2.12496,-0.33721,10180.38951,5.0985,1.2249,1.8705,-9.9948,-45.6346,-49.5606
2648,298.15,1.43513,-0.23643,8626.94637,2.1411,1.0375,1.6912,3.5746,-37.9054,-33.4233
2649,293.15,4.09431,-0.59931,10904.48355,6.6452,1.476,3.7624,-3.3132,-76.4144,-71.0021
2650,293.15,9.16962,-0.64665,9376.07099,5.7916,1.6418,3.1399,-5.6364,-63.675,-69.3114
2651,298.15,-0.22314,-0.46628,21835.59167,8.7743,0.0,3.2042,-3.8855,-73.5188,-60.2279
2652,303.15,4.41884,-0.6721,15046.79406,5.9269,1.8502,2.8542,-7.5379,-64.856,-64.5945
